beta, gamma, t0 
0.0260473, 0.604185, -0.468766
0.0230102, 0.442402, -2.05743
0.0191623, 0.447749, -2.95718
0.0241938, 0.392168, -1.84223
0.018487, 0.550074, -1.92338
0.020796, 0.434552, -1.79244
0.0219303, 0.479281, -2.2517
0.0182545, 0.518191, -3.57601
0.0226287, 0.513644, -2.19054
0.0221058, 0.524737, -1.31219
0.0188483, 0.474517, -1.55247
0.0188778, 0.557228, -1.92595
0.0210378, 0.390658, -1.55711
0.0186363, 0.349729, -1.61352
0.0275395, 0.430952, -1.28578
0.0185592, 0.411326, -1.2627
0.0162607, 0.713708, -0.920768
0.022668, 0.425892, -1.57511
0.0223844, 0.511184, -0.371947
0.0348442, 0.557222, -0.739601
0.0315985, 0.665594, -0.96059
0.0354557, 0.4844, -0.169076
0.0306473, 0.488497, -0.551508
0.0348788, 0.662851, -0.578804
0.0283607, 0.592568, 0.169078
0.0368632, 0.71362, -0.131169
0.0517524, 0.745852, 0.182679
0.0333821, 0.745425, -0.608561
0.031144, 0.789596, -0.602121
0.0260103, 0.820805, 0.19768
0.0401877, 0.511507, 0.129468
0.0350063, 0.761623, 0.203527
0.0330456, 0.903097, -0.0113099
0.0450899, 1.03913, 0.143419
0.0358658, 1.00638, 0.0538864
0.0515181, 1.02155, 0.308279
0.0573143, 1.29565, -0.713773
0.0449966, 0.990441, 0.442014
0.047124, 1.14664, 0.166673
0.0405764, 1.3083, 0.440211
0.0449465, 1.01768, 0.00195283
0.034243, 0.909884, 0.208864
0.054367, 0.732913, -0.213664
0.0395997, 0.769112, 0.325985
0.0446457, 0.783749, 0.141044
0.042191, 1.02154, 0.13475
0.0307073, 0.866739, 0.283067
0.0501792, 0.629231, 0.252021
0.0395291, 1.14735, 0.0869039
0.0346182, 1.05945, 0.414599
0.060948, 0.974007, 0.268741
0.0513156, 1.30972, 0.400447
0.0319782, 1.15939, 0.434907
0.052996, 1.01384, 0.602196
0.0307344, 0.990602, 0.226521
0.0316139, 0.767217, 0.353882
0.0464922, 0.630886, -0.332253
0.0391756, 0.620623, 0.121388
0.0416853, 0.747856, -0.128044
0.046078, 0.811214, -0.0554448
0.0416608, 1.04246, 0.157703
0.0237115, 0.643063, -0.783028
0.0395358, 0.856089, -0.724443
0.0368873, 1.03973, 0.138611
0.0357042, 1.2108, 0.207522
0.0393991, 1.27985, 0.0779118
0.0538903, 1.20686, 0.190057
0.0632234, 1.11187, 0.366538
0.036533, 1.03559, 0.139569
0.0501353, 1.29647, -0.0723284
0.0526608, 0.899945, -0.0654678
0.0377056, 1.37129, 0.112364
0.0569692, 1.4822, 0.000466359
0.0514301, 0.974395, 0.0786611
0.0395069, 0.998046, 0.0659741
0.0431552, 1.01488, -0.419218
0.040248, 1.04897, 0.174592
0.0397183, 0.899069, -1.00587
0.0272881, 0.958514, -0.44008
0.0329646, 0.907319, -0.599878
0.0357035, 0.911178, -0.512002
0.0351969, 0.842313, -0.372781
0.0277312, 0.884832, -0.345637
0.0357862, 0.936022, -0.561339
0.0408012, 1.11414, -0.391855
0.0429829, 0.806183, -0.372471
0.0468704, 0.799343, -0.431071
0.0415159, 1.08277, -0.0970788
0.0449955, 1.06083, 0.0049502
0.0451353, 1.26465, 0.036527
0.0522528, 1.50849, -0.0502552
0.0394763, 1.13193, 0.0537079
0.0534508, 0.788398, 0.129533
0.0404483, 0.867686, 0.283733
0.0467937, 1.20392, 0.331434
0.0450364, 1.08594, 0.0722538
0.0334356, 0.941314, -0.335877
0.0422688, 0.983387, -0.567582
0.0329053, 0.785229, -1.26317
0.0378099, 0.907897, -0.364335
0.0323688, 0.824751, -0.181899
0.0391098, 0.996133, 0.0305641
0.034623, 0.799986, -0.386962
0.039668, 0.867784, -0.0341413
0.0290566, 0.797772, -0.0976169
0.0429844, 0.645457, 0.0152061
0.0354938, 0.97275, -0.114103
0.0284822, 0.749791, -0.0582011
0.0345876, 0.686349, -0.944475
0.0307869, 0.641243, -0.908928
0.0284803, 0.856341, -0.276918
0.0317561, 0.887933, -0.192617
0.0368777, 0.78987, -0.283804
0.0292318, 0.69376, -0.672276
0.0349112, 0.682815, -0.29264
0.0348418, 0.743354, -0.56888
0.0324167, 0.563281, -0.946276
0.0367145, 0.644309, -1.00391
0.0332991, 1.02912, -0.411498
0.0365889, 1.04663, -0.126019
0.0245348, 0.959609, -0.214609
0.0331329, 0.880421, -0.082504
0.0301886, 0.806331, -0.0291581
0.0279219, 0.722578, -0.667278
0.0221675, 0.726726, -0.233544
0.0356294, 0.872739, -0.408333
0.0320064, 0.599743, -0.310217
0.0238109, 0.722127, -0.206065
0.0414096, 0.910223, -0.895912
0.0313109, 0.841623, -0.939745
0.0406194, 0.770856, -0.102021
0.0450395, 0.663868, -0.239032
0.0356964, 0.731082, -0.528928
0.0354044, 0.796582, -0.239602
0.0347758, 0.934576, -0.117022
0.0299199, 0.994289, 0.256921
0.0385212, 0.926601, -0.0473246
