alpha, beta, delta, gamma 
0.00052319, 0.000244599, 1.90206e-05, 0.00129672
0.000819939, 0.00141711, 0.000494517, 0.00742107
0.00549709, 0.00169611, 0.00075017, 0.00952719
0.0014904, 0.00138251, 0.00160017, 0.0164788
0.00766947, 0.0031974, 0.00335402, 0.0269602
0.00966669, 0.00291795, 0.00200618, 0.026438
0.0135556, 0.00359234, 0.00445311, 0.0380137
0.0154778, 0.00298977, 0.00348415, 0.0421599
0.0161039, 0.00301757, 0.00536403, 0.046158
0.0204499, 0.00570373, 0.00464995, 0.0356057
0.0268591, 0.0045631, 0.00471968, 0.0435841
0.0348329, 0.0036574, 0.00468721, 0.0419785
0.0325494, 0.00517371, 0.00660157, 0.0551404
0.0342825, 0.00610396, 0.0062399, 0.050355
0.0321805, 0.00659625, 0.00782373, 0.0603844
0.0542688, 0.00539989, 0.00663946, 0.0792453
0.0408851, 0.00573425, 0.00640106, 0.043895
0.0551508, 0.00684704, 0.00734258, 0.0629688
0.0592855, 0.00846031, 0.00855001, 0.0604617
0.04159, 0.00821697, 0.00726863, 0.0696409
0.0296141, 0.00608028, 0.0060789, 0.0645522
0.0444203, 0.00487284, 0.00854342, 0.0610858
0.0336901, 0.00542622, 0.00841432, 0.0666902
0.0491704, 0.00519047, 0.00795298, 0.0967351
0.0490087, 0.00739195, 0.00968168, 0.0771596
0.0597512, 0.00812565, 0.00778082, 0.0631049
0.069002, 0.00980019, 0.00744086, 0.0619835
0.0819887, 0.00800044, 0.00723742, 0.0766153
0.0785507, 0.00878784, 0.00839223, 0.0969849
0.0543249, 0.00862478, 0.00799218, 0.0855618
0.0612399, 0.00705515, 0.00850325, 0.0764818
0.0693463, 0.00628615, 0.00923957, 0.110602
0.0586222, 0.0089088, 0.0105189, 0.0913432
0.06519, 0.00766625, 0.0118443, 0.0904686
0.057349, 0.0103795, 0.0104764, 0.0997224
0.0538768, 0.0090643, 0.0130748, 0.107066
0.0629034, 0.00875645, 0.0109266, 0.100462
0.0506105, 0.00736066, 0.0101497, 0.103499
0.0586109, 0.0085713, 0.0108957, 0.108028
0.0592369, 0.00807006, 0.0107884, 0.0790274
0.0597705, 0.00789888, 0.0102713, 0.0974748
0.048033, 0.00994026, 0.0075905, 0.0936485
0.0810981, 0.00675271, 0.0106893, 0.114103
0.0690461, 0.0102806, 0.0113949, 0.0815353
0.0726023, 0.00924395, 0.0110739, 0.116343
0.0762496, 0.00922501, 0.0103589, 0.0823648
0.0714181, 0.0101248, 0.00957938, 0.0769433
0.0860741, 0.0084832, 0.00964254, 0.128736
0.076965, 0.00788484, 0.0111318, 0.120531
0.0782469, 0.00925953, 0.0123512, 0.115859
0.071957, 0.00935613, 0.0126798, 0.102239
0.0832544, 0.0118018, 0.0125096, 0.100558
0.0913622, 0.0113323, 0.0120219, 0.132511
0.08552, 0.0112867, 0.0122126, 0.103752
0.0760897, 0.0100273, 0.0101385, 0.114097
0.0718583, 0.00887148, 0.0127286, 0.111471
0.088578, 0.0116767, 0.0126164, 0.1185
0.0720713, 0.0141004, 0.0105523, 0.109691
0.0757816, 0.0096012, 0.0112554, 0.116874
0.0829026, 0.00911138, 0.0129964, 0.0986168
0.0532681, 0.00712683, 0.0124938, 0.1004
0.052243, 0.00754562, 0.0115032, 0.102615
0.0518805, 0.00833696, 0.0106792, 0.0995707
0.0627856, 0.00756575, 0.0113434, 0.115692
0.0691736, 0.00806707, 0.0130706, 0.0966896
0.0963601, 0.0107357, 0.0109846, 0.106627
0.114127, 0.010521, 0.00976702, 0.111948
0.0805184, 0.0129102, 0.0105126, 0.112395
0.0666, 0.0103756, 0.00991561, 0.103528
0.0737369, 0.0099406, 0.00997203, 0.0933818
0.0835484, 0.010666, 0.0106526, 0.0962672
0.0831176, 0.0080468, 0.00943303, 0.105034
0.093431, 0.00713116, 0.00877165, 0.0808178
0.0683621, 0.0080149, 0.010468, 0.0800956
0.0404245, 0.00616489, 0.00996947, 0.0897723
0.0439795, 0.00597067, 0.00950956, 0.100925
0.0467956, 0.00761665, 0.00896376, 0.0961059
0.0538015, 0.00661529, 0.0096401, 0.101583
0.0484022, 0.00617376, 0.011848, 0.109339
0.057287, 0.00662105, 0.0119279, 0.107235
0.048807, 0.00681541, 0.00881592, 0.103365
0.0503781, 0.00590725, 0.00952765, 0.0851149
0.0428894, 0.00760689, 0.00698108, 0.0760502
0.036048, 0.00669125, 0.00782928, 0.0542255
0.0442476, 0.00631981, 0.0085679, 0.0489468
0.0624927, 0.00613812, 0.00806199, 0.0572951
0.0580425, 0.00744311, 0.00713072, 0.0690116
0.0740446, 0.00807938, 0.00710415, 0.0540947
0.0603732, 0.0104194, 0.0066129, 0.0686361
0.0778954, 0.00882254, 0.00459263, 0.0576788
0.0797833, 0.0100615, 0.00525988, 0.0651556
0.0614122, 0.00985901, 0.00731833, 0.0815404
0.0458678, 0.00783719, 0.00732849, 0.0706556
0.0487222, 0.00830017, 0.00909786, 0.0697842
0.0628665, 0.00652568, 0.0088377, 0.0859113
0.0604983, 0.00711857, 0.00954285, 0.0658022
0.0617994, 0.00863636, 0.00827959, 0.0791122
0.078602, 0.009319, 0.00906692, 0.092453
0.0682901, 0.00935327, 0.00931064, 0.0891313
0.0573324, 0.00954309, 0.0105489, 0.0884169
0.0721352, 0.00873355, 0.010176, 0.106953
0.0725518, 0.0107054, 0.0119531, 0.131566
0.0779775, 0.0107431, 0.0128497, 0.120921
0.069604, 0.00863146, 0.013414, 0.110567
0.0678271, 0.00725868, 0.0123219, 0.116709
